Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-11-28; 00:47:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 194°; 84%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 29°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:48:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 196°; 84%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 27°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2024-11-28; 00:49:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 75°; 197°; 84%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:50:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 78°; 74°; 199°; 83%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:51:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 74°; 204°; 83%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:52:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 74°; 204°; 82%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 36°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2024-11-28; 00:53:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 206°; 83%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 34°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 00:54:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 208°; 83%; 0%; 0%; 0%; 74.1%; 411°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 34°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2024-11-28; 00:55:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 73°; 210°; 83%; 0%; 0%; 0%; 74.1%; 411°; 76°; 72°; 92%; 4°; 27°; 26°; 38°; 35°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.53A; 
2024-11-28; 00:56:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 73°; 214°; 81%; 0%; 0%; 0%; 74.1%; 411°; 76°; 72°; 100%; 4°; 27°; 26°; 38°; 37°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.53A; 
2024-11-28; 00:57:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 221°; 82%; 0%; 0%; 0%; 74.1%; 410°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2024-11-28; 00:58:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 224°; 82%; 0%; 0%; 0%; 74.1%; 410°; 76°; 74°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2024-11-28; 00:59:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 226°; 82%; 0%; 0%; 0%; 74.1%; 410°; 76°; 72°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.25A; 
2024-11-28; 01:00:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 72°; 229°; 82%; 0%; 0%; 0%; 74.1%; 410°; 76°; 72°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.21A; 
2024-11-28; 01:01:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 232°; 81%; 0%; 0%; 0%; 74.1%; 410°; 76°; 72°; 0%; 4°; 27°; 31°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 01:02:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 71°; 234°; 81%; 0%; 0%; 0%; 74.1%; 410°; 76°; 72°; 0%; 4°; 27°; 27°; 38°; 38°; 127°; 127°; 10962; 16778h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2024-11-28; 01:03:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 239°; 81%; 0%; 0%; 0%; 74.1%; 409°; 76°; 72°; 0%; 4°; 27°; 26°; 38°; 40°; 127°; 127°; 10962; 16778h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2024-11-28; 01:04:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 75°; 70°; 242°; 81%; 0%; 0%; 0%; 74.1%; 409°; 76°; 72°; 0%; 4°; 27°; 26°; 38°; 38°; 127°; 127°; 10962; 16778h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
