Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-12-14; 01:04:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 184°; 100%; 39%; 65%; 95%; 82.7%; 431°; 76°; 28°; 65%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.95A; 
2024-12-14; 01:05:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 165°; 184°; 100%; 39%; 65%; 95%; 82.6%; 431°; 77°; 28°; 65%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.52A; 
2024-12-14; 01:06:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 166°; 184°; 100%; 39%; 65%; 95%; 82.4%; 432°; 77°; 29°; 65%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.35A; 
2024-12-14; 01:07:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 184°; 100%; 39%; 65%; 95%; 82.2%; 432°; 77°; 29°; 65%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16825h; 40°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.97A; 
2024-12-14; 01:08:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 184°; 99%; 39%; 65%; 95%; 82.1%; 433°; 77°; 30°; 65%; -1°; 30°; 29°; 41°; 42°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 3.01A; 
2024-12-14; 01:09:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 184°; 100%; 39%; 65%; 95%; 81.9%; 433°; 78°; 30°; 65%; -1°; 30°; 29°; 41°; 41°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.42A; 
2024-12-14; 01:10:35; übergangsbetr.;    Heizen      ; 1; 0; 78°; 168°; 183°; 98%; 39%; 65%; 95%; 81.8%; 433°; 78°; 30°; 70%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.74A; 
2024-12-14; 01:11:35; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 184°; 100%; 39%; 65%; 95%; 81.6%; 434°; 78°; 30°; 66%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.44A; 
2024-12-14; 01:12:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 184°; 100%; 39%; 65%; 95%; 81.4%; 435°; 78°; 31°; 66%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.33A; 
2024-12-14; 01:13:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 167°; 184°; 100%; 39%; 65%; 95%; 81.3%; 435°; 78°; 32°; 66%; -1°; 30°; 29°; 41°; 39°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 13%; AUS; OFFEN; TROCKEN; 2.74A; 
2024-12-14; 01:14:36; übergangsbetr.;    Heizen      ; 1; 0; 77°; 168°; 184°; 99%; 38%; 64%; 94%; 81.1%; 435°; 78°; 32°; 66%; -1°; 30°; 29°; 41°; 40°; 127°; 127°; 10990; 16825h; 41°; 80°; 30°; 12%; AUS; OFFEN; TROCKEN; 3.10A; 
