Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2024-05-24; 15:45:56; übergangsbetr.;    Heizen      ; 1; 0; 78°; 159°; 162°; 97%; 37%; 63%; 91%; 92.8%; 413°; 53°; 30°; 62%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 30°; 80°; 23°; 16%; AUS; OFFEN; TROCKEN; 2.40A; 
2024-05-24; 15:46:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 159°; 165°; 100%; 39%; 65%; 95%; 92.6%; 414°; 54°; 30°; 57%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 31°; 80°; 23°; 16%; AUS; OFFEN; TROCKEN; 2.95A; 
2024-05-24; 15:47:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 159°; 166°; 100%; 39%; 65%; 95%; 92.5%; 414°; 54°; 30°; 58%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 31°; 80°; 23°; 17%; AUS; OFFEN; TROCKEN; 2.40A; 
2024-05-24; 15:48:56; übergangsbetr.;    Heizen      ; 1; 0; 77°; 158°; 166°; 100%; 39%; 65%; 95%; 92.3%; 414°; 55°; 30°; 58%; 20°; 0°; 21°; 0°; 20°; 127°; 127°; 10880; 16635h; 31°; 80°; 23°; 16%; AUS; OFFEN; TROCKEN; 2.76A; 
2024-05-24; 15:49:56; übergangsbetr.;    Heizen      ; 1; 0; 78°; 159°; 164°; 98%; 38%; 64%; 93%; 92.1%; 415°; 56°; 30°; 63%; 20°; 0°; 21°; 0°; 21°; 127°; 127°; 10880; 16635h; 31°; 80°; 23°; 16%; AUS; OFFEN; TROCKEN; 2.27A; 
2024-05-24; 15:50:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 158°; 166°; 100%; 39%; 65%; 95%; 92.0%; 415°; 56°; 31°; 58%; 20°; 0°; 21°; 0°; 21°; 127°; 127°; 10880; 16635h; 31°; 80°; 23°; 17%; AUS; OFFEN; TROCKEN; 3.12A; 
2024-05-24; 15:51:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 158°; 167°; 100%; 39%; 65%; 95%; 91.8%; 415°; 57°; 31°; 59%; 20°; 0°; 21°; 0°; 21°; 127°; 127°; 10880; 16636h; 31°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.95A; 
2024-05-24; 15:52:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 160°; 168°; 100%; 39%; 65%; 95%; 91.7%; 416°; 58°; 31°; 59%; 20°; 0°; 22°; 0°; 21°; 127°; 127°; 10880; 16636h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 3.14A; 
2024-05-24; 15:53:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 168°; 100%; 39%; 65%; 95%; 91.5%; 416°; 58°; 31°; 59%; 20°; 0°; 22°; 0°; 21°; 127°; 127°; 10880; 16636h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.67A; 
2024-05-24; 15:54:57; übergangsbetr.;    Heizen      ; 1; 0; 77°; 161°; 169°; 100%; 39%; 65%; 95%; 91.3%; 416°; 58°; 31°; 59%; 20°; 0°; 22°; 0°; 21°; 127°; 127°; 10880; 16636h; 32°; 80°; 24°; 16%; AUS; OFFEN; TROCKEN; 2.80A; 
