Date;  Time; Betriebsart; Status; Zustand; ROST; Kesseltemp; Abgastemp.; Abgas. SW ; KessStellGr; Saugzug  ; Zuluftgebl; Einschub; Fuellst.:; Feuerraumt; Puffert.ob; Puffert.un; Puffer Pu.; Außentemp; Vorlauft.1sw; Vorlauft.1; Vorlauft.2sw; Vorlauft.2; KTY6_H2; KTY7_H2; Brenn.ST; Laufzeit:; Boardtemp.; Die Kesseltemp. soll sein; Heizungsraum-Temp; Heizungsraum-Feuchtigkeit; Ventilator; Zuluftklappe; Leckwassersensor; Stromstaerke; ; 
2025-01-05; 00:48:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 72°; 195°; 82%; 0%; 0%; 0%; 75.5%; 410°; 78°; 67°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:49:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 72°; 197°; 82%; 0%; 0%; 0%; 75.5%; 410°; 78°; 66°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 00:50:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 72°; 199°; 82%; 0%; 0%; 0%; 75.5%; 410°; 78°; 66°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 41°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:51:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 201°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 66°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 00:52:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 202°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 64°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:53:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 204°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 64°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:54:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 206°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 64°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.25A; 
2025-01-05; 00:55:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 208°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 63°; 0%; -4°; 31°; 30°; 44°; 44°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:56:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 210°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 62°; 0%; -4°; 31°; 30°; 44°; 43°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:57:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 70°; 211°; 81%; 0%; 0%; 0%; 75.5%; 409°; 78°; 62°; 0%; -4°; 31°; 32°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 31°; 12%; AN; ZU; TROCKEN; 0.32A; 
2025-01-05; 00:58:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 69°; 213°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 61°; 0%; -4°; 31°; 31°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 00:59:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 77°; 69°; 215°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 60°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 01:00:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 219°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 60°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 01:01:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 221°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 59°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 01:02:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 223°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 58°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.21A; 
2025-01-05; 01:03:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 225°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 58°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 01:04:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 227°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 58°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.28A; 
2025-01-05; 01:05:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 69°; 229°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 58°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
2025-01-05; 01:06:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 68°; 232°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 57°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.30A; 
2025-01-05; 01:07:33; übergangsbetr.;   Brenner Aus  ; 1; 0; 76°; 68°; 234°; 80%; 0%; 0%; 0%; 75.5%; 409°; 78°; 56°; 0%; -4°; 31°; 30°; 44°; 42°; 127°; 127°; 11033; 16896h; 40°; 80°; 30°; 13%; AN; ZU; TROCKEN; 0.23A; 
